time,time_ms,latitude,longitude,elevation,airspeed,pressure_diff,temp,satellites,lat_smooth,lon_smooth,ground_speed_mps,track_deg
22:34:50,149702,34.01896667,-118.44771576,55.0,35.5,771.8,41.09,7,34.01903813733333,-118.44762776533335,1.101963578014426,320.34617568532013
22:34:50,149902,34.01896667,-118.44771576,55.0,35.39,767.07,41.09,7,34.01902949066667,-118.447639464,1.101963568889674,320.3461764535408
22:34:50,150105,34.01896667,-118.44771576,55.0,32.66,653.44,41.09,7,34.019020843999996,-118.44765116266667,0.7477914289830709,315.14684158881846
22:34:51,150344,34.0188942,-118.44779205,54.4,34.9,746.02,41.09,7,34.019007366,-118.44766794733333,0.6321224451850251,312.12829932426655
22:34:51,150576,34.0188942,-118.44779205,54.4,36.55,818.09,41.09,7,34.018995922,-118.44768117133331,0.6321224398082601,312.12830009740424
22:34:51,150777,34.0188942,-118.44779205,54.4,27.48,462.49,41.09,7,34.018984478,-118.44769439533334,0.6321224490938678,312.12830003265697
22:34:51,150979,34.0188942,-118.44779205,54.4,31.88,622.41,41.09,7,34.018973034,-118.44770761933334,0.6321224384632441,312.12830009257004
22:34:52,151192,34.01880646,-118.44788361,54.4,28.54,498.79,41.09,7,34.01895574066666,-118.44772694733334,0.7477914289830709,315.14684158881846
22:34:52,151438,34.01880646,-118.44788361,54.9,28.07,482.48,40.62,7,34.018941244666664,-118.44774220666666,0.6321224451850251,312.12829932426655
22:34:52,151654,34.01880646,-118.44788361,54.9,35.99,793.37,41.09,7,34.018926748666665,-118.447757466,0.6321224398082601,312.12830009740424
22:34:52,151854,34.01880646,-118.44788361,54.9,34.14,713.94,41.09,7,34.01891225266667,-118.44777272533334,0.6321224490938678,312.12830003265697
22:34:52,152057,34.01880646,-118.44788361,54.9,29.34,527.19,41.09,7,34.01889775666667,-118.44778798466668,0.6321224384632441,312.12830009257004
22:34:53,152258,34.01871109,-118.44799805,54.9,36.79,829.14,41.09,7,34.01887690266666,-118.44781087333334,0.7477914289830709,315.14684158881846
22:34:53,152505,34.01871109,-118.44799805,55.1,38.43,904.36,41.09,7,34.018859864,-118.44782969266666,0.6321224451850251,312.12829932426655
22:34:53,152708,34.01871109,-118.44799805,55.1,33.84,701.31,41.09,7,34.01884282533333,-118.44784851200001,0.6321224398082601,312.12830009740424
22:34:53,152911,34.01871109,-118.44799805,55.1,38.43,904.36,41.09,7,34.01882578666667,-118.44786733133333,0.6321224490938678,312.12830003265697
